pageid,pagetitle,label,revisionid,timestamp,comment,type,editentity,parentid
114,Q17,Japan,71094,2016-12-08T08:52:36Z,b'/* wbeditentity-update:0| */ BOT:Add labels (Upper case)',update,entity,414834425
114,Q17,Japan,2775175,2016-12-17T10:33:14Z,b'/* wbsetlabel-set:1|gom */ \xe0\xb2\x9c\xe0\xb2\xaa\xe0\xb2\xbe\xe0\xb2\xa8\xe0\xb3\x8d',set,label,414848623
114,Q17,Japan,417421363,2016-12-17T12:40:34Z,b'/* wbremoveclaims-remove:1| */ [[Property:P36]]: [[Q7473516]]',remove,claim,417382187
114,Q17,Japan,129322,2016-12-17T14:20:58Z,b'Reverted edits by [[Special:Contributions/93.135.183.216|93.135.183.216]] ([[User talk:93.135.183.216|talk]]) to last revision by [[User:Ashish Carvalho|Ashish Carvalho]]',revert,,417421363
114,Q17,Japan,417630590,2016-12-17T22:12:20Z,b'/* wbsetclaim-update:2||1 */ [[Property:P36]]: [[Q1490]]',update,claim,417438083
114,Q17,Japan,417630756,2016-12-17T22:12:35Z,b'/* wbsetclaim-update:2||1 */ [[Property:P36]]: [[Q7473516]]',update,claim,417630590
114,Q17,Japan,288472,2016-12-21T11:01:19Z,"b'/* wbsetclaim-update:2||1 */ [[Property:P1332]]: 45\xc2\xb031\'22.9""N, 141\xc2\xb056\'11.7""E'",update,claim,417630756
114,Q17,Japan,288472,2016-12-21T11:05:55Z,"b'/* wbsetclaim-create:2||1 */ [[Property:P1333]]: 30\xc2\xb059\'39.9""N, 130\xc2\xb039\'37.1""E'",create,claim,418483336
114,Q17,Japan,288472,2016-12-21T11:06:00Z,"b'/* wbsetclaim-create:2||1 */ [[Property:P1334]]: 43\xc2\xb023\'7.3""N, 145\xc2\xb049\'3.2""E'",create,claim,418484403
114,Q17,Japan,288472,2016-12-21T11:06:04Z,"b'/* wbsetclaim-create:2||1 */ [[Property:P1335]]: 33\xc2\xb011\'2.3""N, 129\xc2\xb020\'27.6""E'",create,claim,418484428
114,Q17,Japan,4279,2016-12-23T23:10:02Z,"b""/* wbcreateclaim-create:1| */ [[Property:P3417]]: Japan, #mix'n'match""",create,claim,418484452
114,Q17,Japan,24059,2016-12-27T06:22:40Z,"b'/* wbsetclaim-update:2||1 */ [[Property:P2046]]: 377,972.28 square kilometre'",update,claim,419376206
114,Q17,Japan,26459,2016-12-28T20:49:34Z,b'/* wbsetclaim-create:2||1 */ [[Property:P1549]]: japoniar',create,claim,421188270
114,Q17,Japan,12915,2017-01-03T16:34:24Z,b'/* wbsetdescription-set:1|zh-hant */ \xe6\x9d\xb1\xe4\xba\x9e\xe5\x9c\x8b\xe5\xae\xb6',set,description,421713912
114,Q17,Japan,12915,2017-01-03T16:34:31Z,b'/* wbsetdescription-set:1|zh */ \xe4\xb8\x9c\xe4\xba\x9a\xe5\x9b\xbd\xe5\xae\xb6',set,description,423811289
114,Q17,Japan,12915,2017-01-03T16:34:33Z,b'/* wbsetdescription-set:1|zh-cn */ \xe4\xb8\x9c\xe4\xba\x9a\xe5\x9b\xbd\xe5\xae\xb6',set,description,423811345
114,Q17,Japan,12915,2017-01-03T16:34:36Z,b'/* wbsetdescription-set:1|zh-hans */ \xe4\xb8\x9c\xe4\xba\x9a\xe5\x9b\xbd\xe5\xae\xb6',set,description,423811370
114,Q17,Japan,12915,2017-01-03T16:34:38Z,b'/* wbsetdescription-set:1|zh-sg */ \xe4\xb8\x9c\xe4\xba\x9a\xe5\x9b\xbd\xe5\xae\xb6',set,description,423811392
114,Q17,Japan,12915,2017-01-03T16:34:41Z,b'/* wbsetdescription-set:1|zh-my */ \xe4\xb8\x9c\xe4\xba\x9a\xe5\x9b\xbd\xe5\xae\xb6',set,description,423811411
114,Q17,Japan,12915,2017-01-03T16:34:43Z,b'/* wbsetdescription-set:1|zh-hk */ \xe6\x9d\xb1\xe4\xba\x9e\xe5\x9c\x8b\xe5\xae\xb6',set,description,423811431
114,Q17,Japan,12915,2017-01-03T16:34:45Z,b'/* wbsetdescription-set:1|zh-tw */ \xe6\x9d\xb1\xe4\xba\x9e\xe5\x9c\x8b\xe5\xae\xb6',set,description,423811448
114,Q17,Japan,12915,2017-01-03T16:34:47Z,b'/* wbsetdescription-set:1|zh-mo */ \xe6\x9d\xb1\xe4\xba\x9e\xe5\x9c\x8b\xe5\xae\xb6',set,description,423811467
114,Q17,Japan,12915,2017-01-03T16:34:50Z,b'/* wbsetaliases-add:1|zh */ \xe6\x97\xa5\xe6\x9c\xac\xe5\x9c\x8b',add,aliase,423811482
114,Q17,Japan,54239,2017-01-04T19:15:26Z,b'/* wbremoveclaims-remove:1| */ [[Property:P1549]]: \xd1\x8f\xd0\xbf\xd0\xbe\xd0\xbd\xd1\x81\xd0\xba\xd0\xb8',remove,claim,423811507
114,Q17,Japan,54239,2017-01-04T19:16:33Z,b'/* wbsetclaim-create:2||1 */ [[Property:P1549]]: \xd1\x8f\xd0\xbf\xd0\xbe\xd0\xbd\xd1\x86\xd0\xb8',create,claim,424259769
114,Q17,Japan,54239,2017-01-04T19:17:35Z,b'/* wbsetclaim-create:2||1 */ [[Property:P1549]]: \xd1\x8f\xd0\xbf\xd0\xbe\xd0\xbd\xd0\xb5\xd1\x86',create,claim,424259920
114,Q17,Japan,54239,2017-01-04T19:18:12Z,b'/* wbsetclaim-create:2||1 */ [[Property:P1549]]: \xd1\x8f\xd0\xbf\xd0\xbe\xd0\xbd\xd0\xba\xd0\xb0',create,claim,424260064
114,Q17,Japan,109841,2017-01-04T22:40:00Z,b'/* wbsetsitelink-add:1|fawikiquote */ \xda\x98\xd8\xa7\xd9\xbe\xd9\x86',add,sitelink,424260160
114,Q17,Japan,2759673,2017-01-07T05:05:18Z,"b'/* wbsetaliases-remove:5|ja */ \xe3\x81\xab\xe3\x81\xbb\xe3\x82\x93, \xe3\x81\xab\xe3\x81\xbb\xe3\x82\x93\xe3\x81\x93\xe3\x81\x8f, \xe3\x81\xab\xe3\x81\xa3\xe3\x81\xbd\xe3\x82\x93, \xe3\x81\xab\xe3\x81\xa3\xe3\x81\xbd\xe3\x82\x93\xe3\x81\x93\xe3\x81\x8f, \xe6\x9d\x91\xe7\xa5\xad\xe3\x82\x8a'",remove,aliase,424287322
114,Q17,Japan,622902,2017-01-07T12:47:29Z,b'/* restore:0||424287322|Sonia Sevilla */ no reason to remove them',restore,,425160606
